# duree vitesse
1 29.71 3365807
2 17.30 5780346
4 8.85 11299435.0
8 4.61 21691974.0
16 2.29 43668122.3
32 1.12 89285714.3
64 0.50 200000000.0
128 0.26 384615385
256 0.13 769230769
512 0.07 1428571429
1024 0.05 2000000000
2048 0.03 3333333333
4096 0.04 2500000000
8192 0.02 5000000000
16384 0.02 5000000000
32768 0.02 5000000000
65536 0.02 5000000000
131072 0.02 5000000000
262144 0.03 3333333333
524288 0.02 5000000000
1048576 0.02 5000000000
2097152 0.02 5000000000
4194304 0.04 2500000000
8388608 0.03 3333333333
